                                              Name   Unannotated   Explicit   Unimported   Omitted Generics   Error   Special Form   Implementation Artifact
------------------------------------------------------------------------------------------------------------------------------------------------------------
                                               src             0          0            0                  0       0              0                         0
                                           src.api             0          0            0                  0       0              0                         0
                                 src.api.crud.base             0         18           63                 88       2              0                         0
                           src.api.crud.crud_tarea             0          0           20                  0       0              0                         0
                         src.api.crud.crud_usuario             0          7           26                 18       2              0                         0
                              src.api.dependencies             0          3           34                  0       0              0                         0
                                    src.api.models             0          0            0                  0       0              0                         0
                       src.api.models.associations             0          0           14                  0       0              0                         0
                               src.api.models.base             0         90           25                  4       0              0                         0
                           src.api.models.efectivo             0          0           56                  0       0              0                         0
                   src.api.models.historial_estado             0          0           41                  0       0              0                         0
                      src.api.models.metrica_tarea             0          0           56                  0       0              0                         0
                              src.api.models.tarea             0          0          152                  0       0              0                         0
                            src.api.models.usuario             0          0           97                  0       0              0                         0
                                   src.api.routers             0          0           43                  0       0              0                         0
                             src.api.routers.admin             2         11           17                  0       0              0                         0
                              src.api.routers.auth            18         10           60                  0       0              0                         0
                             src.api.routers.cache            21         19           58                 36       0              0                         0
                         src.api.routers.dashboard             0          1           13                  0       0              0                         0
                    src.api.routers.efectivos_mock             0          7           16                 46       0              0                         0
                               src.api.routers.geo             0          8           47                  9       0              0                         0
                            src.api.routers.health             0        264          116                 72       0              0                         0
                           src.api.routers.metrics             3          5           15                  0       0              0                         0
                        src.api.routers.statistics            18         57          124                 44       0              0                         0
                             src.api.routers.tasks            18         76           96                 10       0              0                         0
                     src.api.routers.telegram_auth             0          0          122                  0       2              0                         0
                    src.api.routers.telegram_tasks             0         26          338                 18       6              0                         0
                             src.api.routers.users             0          8           62                  0       0              0                         0
                          src.api.routers.usuarios             0         14          225                  0       0              0                         0
                          src.api.schemas.telegram             0        378            0                104       8              0                         0
                             src.api.services.auth             0          0            4                  0       0              0                         0
                                  src.api.test_api             0          0            0                  0       0              0                         0
                                     src.api.tests             0          0            0                  0       0              0                         0
                                src.api.web_router             0          0            0                  0       0              0                         0
                                           src.app             0          0            0                  0       0              0                         0
                               src.app.core.config             0          6            3                  6       0              0                         0
                             src.app.core.database             0          0           16                  0       0              0                         0
                              src.app.core.startup             0          0            0                  0       0              0                         0
                                      src.app.main             0          0            6                  0       0              0                         0
                                           src.bot             0          0            0                  0       0              0                         0
                                  src.bot.commands             0          0            0                  0       0              0                         0
                      src.bot.commands.crear_tarea             0         15           67                  2       0              0                         0
                     src.bot.commands.estadisticas            16         16           48                 94     127              0                         0
                  src.bot.commands.finalizar_tarea             0         15           40                  2       0              0                         0
                             src.bot.commands.help             0          0           49                  2       0              0                         0
                        src.bot.commands.historial             0          0           95                 23      48              0                         0
                            src.bot.commands.start             0          0           30                  0       0              0                         0
                                  src.bot.handlers             0          0           33                  0       0              0                         0
                 src.bot.handlers.callback_handler           185          5          336                 29      61              0                         0
        src.bot.handlers.callback_handler_improved           185          3           55                  0      44              0                         0
         src.bot.handlers.messages.message_handler             0         15           40                  2       0              0                         0
src.bot.handlers.messages.message_handler_improved             0          6          182                  0       4              0                         0
              src.bot.handlers.wizard_text_handler             0         18          266                 96      66              0                         0
                                      src.bot.main             0          4           30                  0       0              0                         0
                       src.bot.services.api_legacy             0         30           23                  3       0              0                         0
                      src.bot.services.api_service             0         38           29                  3       0              0                         0
                                     src.bot.utils             0          0            0                  0       0              0                         0
                       src.bot.utils.confirmations             0        115           48                 26       0              0                         0
                              src.bot.utils.emojis             0          0            0                  4       0              0                         0
                      src.bot.utils.error_messages             0          0            5                  0       6              0                         0
                           src.bot.utils.keyboards             0          0          107                  8      63              0                         0
                          src.bot.utils.ux_metrics             9         46            0                120     225              0                         0
                          src.bot.utils.validators             0          0            0                  4       1              0                         0
                        src.bot.utils.wizard_state             0         50            0                 40       0              0                         0
                                     src.core.auth             0          0            0                  0       0              0                         0
                                    src.core.cache            90         97            6                  6       0              0                         0
                         src.core.cache_decorators            52        181            0                 28      30              0                         0
                                 src.core.database             0        100           21                 14       0              0                         0
                                      src.core.geo             0          0            0                  0       0              0                         0
                      src.core.geo.postgis_service             9          1           39                  0       0              0                         0
                              src.core.performance            12         94           81                148       0              0                         0
                                 src.core.security             0          4           14                  0       0              0                         0
                                src.core.ws_pubsub            39         62            2                 24       0              0                         0
                                     src.grupo_gad             0          0            0                  0       0              0                         0
                                 src.observability             0          0            0                  0       0              0                         0
                         src.observability.metrics             6         73          117                 10       0              0                         0
                                       src.schemas             0          0            0                  0       0              0                         0
                                 src.schemas.tarea             0         14            0                  6       0              0                         0
                                 src.schemas.token             0          4            0                  0       0              0                         0
                               src.schemas.usuario             0         14            0                  6       0              0                         0
                              src.shared.constants             0          0            0                  0       0              0                         0
------------------------------------------------------------------------------------------------------------------------------------------------------------
                                             Total           683       2028         3728               1155     695              0                         0
