src/api/routers/dashboard.py:13: unused variable 'current_admin' (100% confidence, 1 line)
src/api/routers/telegram_tasks.py:12: unused import 'or_' (90% confidence, 1 line)
src/api/routers/usuarios.py:20: unused import 'cache_and_invalidate' (90% confidence, 1 line)
src/api/routers/usuarios.py:20: unused import 'cache_result' (90% confidence, 1 line)
src/api/schemas/telegram.py:37: unused variable 'cls' (100% confidence, 1 line)
src/api/schemas/telegram.py:44: unused variable 'cls' (100% confidence, 1 line)
src/api/schemas/telegram.py:51: unused variable 'cls' (100% confidence, 1 line)
src/api/schemas/telegram.py:83: unused variable 'cls' (100% confidence, 1 line)
src/bot/services/api_service.py:60: unreachable code after 'try' (100% confidence, 1 line)
src/core/websocket_integration.py:304: unused variable 'connection_record' (100% confidence, 1 line)
src/core/websocket_integration.py:304: unused variable 'dbapi_connection' (100% confidence, 1 line)
src/core/websocket_integration.py:309: unused variable 'execution_options' (100% confidence, 1 line)
src/core/websocket_integration.py:309: unused variable 'multiparams' (100% confidence, 1 line)
src/bot/handlers/callback_handler_improved.py:24: unused import 'can_execute_command' (90% confidence, 3 lines)
src/bot/handlers/callback_handler_improved.py:28: unused import 'ConfirmationHelper' (90% confidence, 3 lines)
src/bot/handlers/wizard_text_handler.py:12: unused import 'get_status_emoji' (90% confidence, 4 lines)
