src/bot/handlers/wizard_text_handler.py:321: unexpected indent at "return"
src/api/crud/crud_tarea.py:17: unused method 'get_multi_by_delegado' (60% confidence)
src/api/main.py:252: unused function 'security_headers_middleware' (60% confidence)
src/api/main.py:297: unused function 'max_body_size_middleware' (60% confidence)
src/api/main.py:349: unused function 'validation_exception_handler' (60% confidence)
src/api/main.py:369: unused function 'log_requests' (60% confidence)
src/api/main.py:468: unused function 'health_ready' (60% confidence)
src/api/middleware/government_rate_limiting.py:118: unused method 'dispatch' (60% confidence)
src/api/middleware/logging.py:21: unused class 'SecurityLoggingMiddleware' (60% confidence)
src/api/middleware/logging.py:41: unused method 'dispatch' (60% confidence)
src/api/middleware/logging.py:113: unused class 'PerformanceLoggingMiddleware' (60% confidence)
src/api/middleware/logging.py:128: unused method 'dispatch' (60% confidence)
src/api/middleware/logging.py:177: unused class 'DatabaseLoggingMiddleware' (60% confidence)
src/api/middleware/logging.py:187: unused method 'dispatch' (60% confidence)
src/api/middleware/websockets.py:293: unused function 'emit_task_created' (60% confidence)
src/api/middleware/websockets.py:298: unused function 'emit_task_updated' (60% confidence)
src/api/middleware/websockets.py:303: unused function 'emit_task_status_changed' (60% confidence)
src/api/middleware/websockets.py:314: unused function 'emit_efectivo_status_changed' (60% confidence)
src/api/middleware/websockets.py:325: unused function 'emit_system_maintenance' (60% confidence)
src/api/middleware/websockets.py:330: unused function 'emit_dashboard_refresh' (60% confidence)
src/api/models.py:22: unused variable 'dos' (60% confidence)
src/api/models.py:23: unused variable 'tres' (60% confidence)
src/api/models.py:28: unused variable 'en_tarea' (60% confidence)
src/api/models.py:29: unused variable 'en_licencia' (60% confidence)
src/api/models.py:34: unused variable 'en_curso' (60% confidence)
src/api/models.py:35: unused variable 'finalizada' (60% confidence)
src/api/models.py:69: unused variable 'efectivo' (60% confidence)
src/api/models.py:70: unused variable 'tareas_delegadas' (60% confidence)
src/api/models.py:80: unused variable 'especialidad' (60% confidence)
src/api/models.py:109: unused variable 'delegado' (60% confidence)
src/api/models/base.py:23: unused variable 'impl' (60% confidence)
src/api/models/base.py:24: unused variable 'cache_ok' (60% confidence)
src/api/models/base.py:26: unused method 'load_dialect_impl' (60% confidence)
src/api/models/base.py:39: unused variable 'impl' (60% confidence)
src/api/models/base.py:40: unused variable 'cache_ok' (60% confidence)
src/api/models/base.py:42: unused method 'load_dialect_impl' (60% confidence)
src/api/models/base.py:48: unused method 'process_bind_param' (60% confidence)
src/api/models/base.py:53: unused method 'process_result_value' (60% confidence)
src/api/models/base.py:80: unused method 'to_dict' (60% confidence)
